source,target,value
Michigan,GrandRapids,37748
Michigan,Detroit,6155
GrandRapids,Fabaceae,5805
GrandRapids,Malvaceae,3033
GrandRapids,Sapindaceae,28910
Malvaceae,Tilia cordata,3033
Sapindaceae,Acer saccharum,3954
Sapindaceae,Acer rubrum,4523
Fabaceae,Gleditsia triacanthos,5805
Sapindaceae,Acer platanoides,20433
Detroit,Platanaceae,980
Detroit,Salicaceae,3011
Detroit,Sapindaceae,1183
Detroit,Ulmaceae,981
Platanaceae,Platanus acerifolia,980
Ulmaceae,Ulmus,981
Sapindaceae,Acer rubrum,1183
Salicaceae,Populus,1276
Salicaceae,Salix,1735
